unit,cycle,RUL_true,RUL_pred
11,1,58.0,60.02262856940078
11,1,58.0,55.49482488209251
11,1,58.0,48.80478158321571
11,1,58.0,47.33085889151126
11,1,58.0,42.322600764518036
11,1,58.0,35.87424311249154
11,1,58.0,35.001721475287795
11,1,58.0,35.375816649298805
11,1,58.0,34.9059831505346
11,1,58.0,36.048483114103604
11,1,58.0,35.91870227774084
11,1,58.0,34.36182673014486
11,1,58.0,32.299120924041524
11,1,58.0,31.350052395431725
11,1,58.0,30.99673167455466
11,1,58.0,33.359713691446075
11,1,58.0,31.846370765462236
11,1,58.0,33.5497406247376
11,1,58.0,34.04022379335313
11,1,58.0,33.154472606646394
11,1,58.0,32.11887674276862
11,1,58.0,32.9635752298043
11,1,58.0,33.02508765520202
11,1,58.0,31.454678615817155
11,1,58.0,33.34930557272887
11,1,58.0,33.243285976133485
11,1,58.0,33.24800351737909
11,1,58.0,33.071317480657235
11,1,58.0,33.469412309050476
11,1,58.0,31.639760769817265
11,1,58.0,32.6144112188605
11,1,58.0,35.07154255942393
11,1,58.0,37.250347860329924
11,1,58.0,37.18789633160077
11,1,58.0,36.78924462030855
11,1,58.0,39.22482229086124
11,1,58.0,37.32084405090593
11,1,58.0,38.61774010816729
11,1,58.0,35.60133805531652
11,1,58.0,37.015112864294544
11,1,58.0,33.200239870899125
11,1,58.0,34.90449734397521
11,1,58.0,34.535336666054285
11,1,58.0,34.439154064854776
11,1,58.0,33.78321763847457
11,1,58.0,34.48431136024107
11,1,58.0,32.27527800642153
11,1,58.0,32.09408238262177
11,1,58.0,35.64240184288318
11,1,58.0,29.657801531279183
11,1,58.0,29.534186719902877
11,1,58.0,30.157518201897503
11,1,58.0,33.26606903418691
11,1,58.0,35.475943882888984
11,1,58.0,29.224100723551988
11,1,58.0,30.677534990229706
11,2,57.0,41.626107377054986
11,2,57.0,33.855985659665805
11,2,57.0,27.969372779827516
11,2,57.0,31.510815578320557
11,2,57.0,36.183540950507876
11,2,57.0,40.23481447268102
11,2,57.0,42.229823280817634
11,2,57.0,41.34476773259628
11,2,57.0,41.7849868511866
11,2,57.0,42.8064686294361
11,2,57.0,41.38913790783873
11,2,57.0,41.296557200020516
11,2,57.0,42.18946241752776
11,2,57.0,39.877396399276556
11,2,57.0,39.85768784103901
11,2,57.0,40.91380582014324
11,2,57.0,43.586363053308894
11,2,57.0,39.732620322654526
11,2,57.0,36.946302171548126
