Model,Preprocessing,Refinement,R²,RMSE
flat MoG-TSK 0th,log+standardized,closed-form only,-0.005 ± 0.112,16.37 ± 0.76
flat MoG-TSK 1st,log+standardized,closed-form only,0.783 ± 0.028,7.61 ± 0.49
flat MoG-TSK 2nd,log+standardized,closed-form only,0.829 ± 0.023,6.76 ± 0.53
flat MoG-TSK 0th,log+standardized,refined,0.404 ± 0.142,12.55 ± 1.76
flat MoG-TSK 1st,log+standardized,refined,0.844 ± 0.023,6.43 ± 0.38
flat MoG-TSK 2nd,log+standardized,refined,0.879 ± 0.023,5.67 ± 0.59
fuzzy tree,raw,n/a,0.580 ± 0.067,10.57 ± 0.86
mixture of experts (HME),raw,n/a,0.720 ± 0.064,8.59 ± 0.78
CART (reference),raw,n/a,0.825 ± 0.047,6.74 ± 0.74
Random Forest (reference),raw,n/a,0.909 ± 0.018,4.90 ± 0.31
fuzzy tree,log+standardized,n/a,0.688 ± 0.056,9.09 ± 0.58
mixture of experts (HME),log+standardized,n/a,0.810 ± 0.064,7.00 ± 0.94
CART (reference),log+standardized,n/a,0.826 ± 0.047,6.73 ± 0.74
Random Forest (reference),log+standardized,n/a,0.909 ± 0.019,4.90 ± 0.31
